Tiempo_Simulado(s),Posicion_X,Posicion_Y
34.4000,342.1200,630.0000
34.4500,342.4825,630.0000
34.5000,342.8450,630.0000
34.5500,343.2068,630.0000
34.6000,343.5604,630.0000
34.6500,343.9086,630.0000
34.7000,344.2557,630.0000
34.7500,344.6029,630.0000
34.7999,344.9453,630.0000
34.8499,345.2776,630.0000
34.8999,345.6152,630.0000
34.9499,345.9624,630.0000
34.9999,346.3033,630.0000
35.0499,346.6360,630.0000
35.0999,346.9638,630.0000
35.1499,347.2899,630.0000
35.1998,347.6159,630.0000
35.2498,347.9419,630.0000
35.2998,348.2679,630.0000
35.3498,348.5938,630.0000
35.3998,348.9198,630.0000
35.4498,349.2458,630.0000
35.4998,349.5718,630.0000
35.5498,349.8978,630.0000
35.5997,350.2238,630.0000
35.6497,350.5498,630.0000
35.6997,350.8758,630.0000
35.7497,351.2018,630.0000
35.7997,351.5277,630.0000
35.8497,351.8537,630.0000
35.8997,352.1797,630.0000
35.9497,352.5057,630.0000
35.9996,352.8317,630.0000
36.0496,353.1577,630.0000
36.0996,353.4837,630.0000
36.1496,353.8097,630.0000
36.1996,354.1357,630.0000
36.2496,354.4616,630.0000
36.2996,354.7876,630.0000
36.3496,355.1136,630.0000
36.3995,355.4396,630.0000
36.4495,355.7656,630.0000
36.4995,356.0916,630.0000
36.5495,356.4176,630.0000
36.5995,356.7436,630.0000
36.6495,357.0695,630.0000
36.6995,357.3955,630.0000
36.7495,357.7215,630.0000
36.7994,358.0487,630.0000
36.8494,358.3820,630.0000
36.8994,358.7240,630.0000
36.9494,359.0723,630.0000
36.9994,359.4240,630.0000
37.0494,359.7765,630.0000
37.0994,360.1289,630.0000
37.1494,360.4814,630.0000
37.1994,360.8339,630.0000
37.2493,361.1864,630.0000
37.2993,361.5388,630.0000
37.3493,361.8913,630.0000
37.3993,362.2438,630.0000
37.4493,362.5963,630.0000
37.4993,362.9488,630.0000
37.5493,363.3012,630.0000
37.5993,363.6537,630.0000
37.6492,364.0072,629.9999
37.6992,364.3766,629.9971
37.7492,364.7698,629.9855
37.7992,365.1801,629.9745
37.8492,365.5970,629.9787
37.8992,366.0146,629.9990
37.9492,366.4323,630.0000
37.9992,366.8499,630.0000
38.0491,367.2675,630.0000
38.0991,367.6849,630.0000
38.1491,368.0986,630.0000
38.1991,368.5068,630.0000
38.2491,368.9103,630.0000
38.2991,369.3111,630.0000
38.3491,369.7110,630.0000
38.3991,370.1109,630.0000
38.4490,370.5108,630.0000
38.4990,370.9107,630.0000
38.5490,371.3106,630.0000
38.5990,371.7105,630.0000
38.6490,372.1104,630.0000
38.6990,372.5103,630.0000
38.7490,372.9102,630.0000
38.7990,373.3101,630.0000
38.8489,373.7100,630.0000
38.8989,374.1099,630.0000
38.9489,374.5098,630.0000
38.9989,374.9097,630.0000
39.0489,375.3096,630.0000
39.0989,375.7095,630.0000
39.1489,376.1094,630.0000
39.1989,376.5073,629.9995
39.2489,376.8745,629.9901
39.2988,377.2248,629.9901
39.3488,377.5746,630.0000
39.3988,377.9329,630.0000
39.4488,378.2971,630.0000
39.4988,378.6626,630.0000
39.5488,379.0281,630.0000
39.5988,379.3936,630.0000
39.6488,379.7591,630.0000
39.6987,380.1246,630.0000
39.7487,380.4901,630.0000
39.7987,380.8556,630.0000
39.8487,381.2211,630.0000
39.8987,381.5866,630.0000
39.9487,381.9521,630.0000
39.9987,382.3177,630.0000
40.0487,382.6832,630.0000
40.0986,383.0487,630.0000
40.1486,383.4142,630.0000
40.1986,383.7788,629.9998
40.2486,384.1114,629.9954
40.2986,384.3868,629.9802
40.3486,384.6143,629.9603
